Id;Label;AltLabel;sex;historical_period;continent;translated;nobel;all_prizes
1;Aciman André;Node_alt_1;0;2013;2;0;0;1
2;Agassi Andre;Node_alt_2;0;2009;2;0;0;0
3;Alcott Louisa May;Node_alt_3;1;1871;2;0;0;1
4;Allende Isabel;Node_alt_4;1;2001;3;1;0;1
5;Ammaniti Niccolò;Node_alt_5;0;2008;1;1;0;0
6;Anderson Sherwood;Node_alt_6;0;1919;2;0;0;0
7;Atkinson Kate;Node_alt_7;1;2013;1;0;0;1
8;Atwood Margaret;Node_alt_8;1;2001;2;0;0;1
9;Austen Jane;Node_alt_9;1;1812;1;0;0;1
10;Auster Paul;Node_alt_10;0;1999;2;0;0;0
11;Ballard JG;Node_alt_11;0;1974;1;0;0;0
12;Barbery Muriel;Node_alt_12;1;2006;1;1;0;0
13;Baricco Alessandro;Node_alt_13;0;1996;1;1;0;0
14;Barnes Julian;Node_alt_14;0;2010;1;0;0;1
15;Bassani Giorgio;Node_alt_15;0;1962;1;0;0;0
16;Baum L Frank;Node_alt_16;0;1900;2;0;0;0
17;Bellow Saul;Node_alt_17;0;1967;2;0;1;1
18;Bender Aimee;Node_alt_18;1;2010;2;0;0;0
19;Benioff David;Node_alt_19;0;2008;2;0;0;0
20;Bennett Alan;Node_alt_20;0;1989;1;0;0;1
21;Bennett Andrea;Node_alt_21;1;2015;2;0;0;0
22;Bernhard Thomas;Node_alt_22;0;1983;1;1;0;0
23;Bolaño Roberto;Node_alt_23;0;2001;3;1;0;1
24;Borges Jorge Luis;Node_alt_24;0;1952;3;1;0;0
25;Boyne John;Node_alt_25;0;2006;1;0;0;0
26;Bradbury Ray;Node_alt_26;0;1953;2;0;0;0
27;Brontë Charlotte;Node_alt_27;1;1850;1;0;0;1
28;Brontë Emily;Node_alt_28;1;1847;1;0;0;1
29;Bukowski Charles;Node_alt_29;0;1973;2;0;0;0
30;Bulgakov Mikhail;Node_alt_30;0;1946;1;1;0;0
31;Bunker Edward;Node_alt_31;0;1984;2;0;0;0
32;Byatt Antonia Susan;Node_alt_32;1;2000;1;0;0;1
33;Cain James;Node_alt_33;0;1934;2;0;0;0
34;Calvino Italo;Node_alt_34;0;1971;1;1;0;0
35;Cameron Peter;Node_alt_35;0;2007;2;0;0;0
36;Camus Albert;Node_alt_36;0;1961;1;1;1;1
37;Capote Truman;Node_alt_37;0;1954;2;0;0;1
38;Carrère Emmanuel;Node_alt_38;0;2011;1;1;0;0
39;Carrisi Donato;Node_alt_39;0;2012;1;1;0;0
40;Carroll Lewis;Node_alt_40;0;1876;1;0;0;1
41;Carter Angela;Node_alt_41;1;1974;1;0;0;0
42;Carver Raymond;Node_alt_42;0;1982;2;0;0;0
43;Cather Willa;Node_alt_43;1;1919;2;0;0;1
44;Catozzella Giuseppe;Node_alt_44;0;2014;1;1;0;0
45;Chabon Michael;Node_alt_45;0;2000;2;0;0;1
46;Chandler Raymond;Node_alt_46;0;1944;2;0;0;0
47;Chatwin Bruce;Node_alt_47;0;1984;1;0;0;0
48;Cheever John;Node_alt_48;0;1976;2;0;0;0
49;Christie Agatha;Node_alt_49;1;1942;1;0;0;0
50;Clarke Arthur;Node_alt_50;0;1963;1;0;0;1
51;Cocteau Jean;Node_alt_51;0;1929;1;1;0;0
52;Coe Jonathan;Node_alt_52;0;2006;1;0;0;0
53;Coelho Paulo;Node_alt_53;0;1993;3;1;0;0
54;Coetzee JM;Node_alt_54;0;1992;5;0;1;1
55;Cognetti Paolo;Node_alt_55;0;2016;1;1;0;0
56;Collodi Carlo;Node_alt_56;0;1883;1;1;0;0
57;Connelly Michael;Node_alt_57;0;2019;2;0;0;0
58;Conrad Joseph;Node_alt_58;0;1899;1;0;0;0
59;Cooper Glenn;Node_alt_59;0;2018;2;0;0;0
60;Cooper James;Node_alt_60;0;1838;2;0;0;0
61;Crichton Michael;Node_alt_61;0;1990;2;0;0;0
62;Cronin AJ;Node_alt_62;0;1934;1;0;0;1
63;Cunningham Michael;Node_alt_63;0;1999;2;0;0;1
64;Dawkins Richard;Node_alt_64;0;2006;1;0;0;1
65;De Giovanni Maurizio;Node_alt_65;0;2013;1;1;0;0
66;DeLillo Don;Node_alt_66;0;1995;2;0;0;1
67;de Maupassant Guy;Node_alt_67;0;1885;1;1;0;0
68;de Saint-Exupéry Antoine;Node_alt_68;0;1943;1;1;0;0
69;Dickens Charles;Node_alt_69;0;1849;1;0;0;1
70;Dicker Joël;Node_alt_70;0;2012;1;1;0;0
71;Dick Philip Kindred;Node_alt_71;0;1973;2;0;0;0
72;Didion Joan;Node_alt_72;1;2005;2;0;0;0
73;Dostoevsky Fyodor;Node_alt_73;0;1865;1;1;0;1
74;Doyle Arthur Conan;Node_alt_74;0;1901;1;0;0;0
75;Dumas Alexandre;Node_alt_75;0;1845;1;1;0;1
76;Duras Marguerite;Node_alt_76;1;1984;1;1;0;0
77;Durrell Gerald;Node_alt_77;0;1956;1;0;0;0
78;Eco Umberto;Node_alt_78;0;1980;1;1;0;0
79;Eggers Dave;Node_alt_79;0;2007;2;0;0;1
80;Eliot George;Node_alt_80;1;1865;1;0;0;1
81;Ellis Bret Easton;Node_alt_81;0;1988;2;0;0;0
82;Eugenides Jeffrey;Node_alt_82;0;1998;2;0;0;1
83;Fante John;Node_alt_83;0;1951;2;0;0;1
84;Faulkner William;Node_alt_84;0;1936;2;0;1;1
85;Ferrante Elena;Node_alt_85;1;2006;1;1;0;1
86;Fielding Helen;Node_alt_86;1;1995;1;0;0;1
87;Fitzgerald Francis Scott;Node_alt_87;0;1930;2;0;0;1
88;Flagg Fannie;Node_alt_88;1;1987;2;0;0;0
89;Flaubert Gustave;Node_alt_89;0;1863;1;1;0;1
90;Flynn Gillian;Node_alt_90;1;2009;2;0;0;1
91;Foer Jonathan Safran;Node_alt_91;0;2004;2;0;0;0
92;Follett Ken;Node_alt_92;0;2006;1;0;0;1
93;Ford Richard;Node_alt_93;0;2004;2;0;0;1
94;Frank Anne;Node_alt_94;1;1947;1;1;0;0
95;Franzen Jonathan;Node_alt_95;0;2009;2;0;0;1
96;Gaiman Neil;Node_alt_96;0;2006;1;0;0;0
97;Gary Romain;Node_alt_97;0;1980;1;1;0;0
98;Gibson William;Node_alt_98;0;1984;2;0;0;1
99;Ginzburg Natalia;Node_alt_99;1;1963;1;1;0;0
100;von Goethe Johann Wolfgang;Node_alt_100;0;1792;1;1;0;0
101;Gogol Nikolai;Node_alt_101;0;1839;1;1;0;0
102;Golden Arthur;Node_alt_102;0;1997;2;0;0;1
103;Golding William;Node_alt_103;0;1967;1;0;1;1
104;Gončarov Ivan;Node_alt_104;0;1859;1;1;0;0
105;Grandes Almudena;Node_alt_105;1;1998;1;1;0;0
106;Grass Günter;Node_alt_106;0;1968;1;1;1;1
107;Green John;Node_alt_107;0;2009;2;0;0;0
108;Groff Lauren;Node_alt_108;1;2015;2;0;0;1
109;Grogan John;Node_alt_109;0;2005;2;0;0;0
110;Gurdjieff Georges;Node_alt_110;0;1963;1;1;0;0
111;Haddon Mark;Node_alt_111;0;2003;1;0;0;1
112;Hamid Mohsin;Node_alt_112;0;2009;4;0;0;1
113;Hamsun Knut;Node_alt_113;0;1898;1;1;1;1
114;Hardy Thomas;Node_alt_114;0;1879;1;0;0;1
115;Hawkins Paula;Node_alt_115;1;2015;1;0;0;0
116;Hemingway Ernest;Node_alt_116;0;1937;2;0;1;1
117;Hesse Herman;Node_alt_117;0;1926;1;1;1;1
118;Highsmith Patricia;Node_alt_118;1;1955;2;0;0;0
119;Homes Amy;Node_alt_119;1;2006;2;0;0;0
120;Honeyman Gail;Node_alt_120;1;2017;1;0;0;1
121;Hornby Nick;Node_alt_121;0;2000;1;0;0;0
122;Hosseini Khaled;Node_alt_122;0;2008;4;0;0;1
123;Houellebecq Michel;Node_alt_123;0;2009;1;1;0;0
124;Howard Elizabeth Jane;Node_alt_124;1;1969;1;0;0;0
125;Hrabal Bohumil;Node_alt_125;0;1976;1;1;0;0
126;Hugo Victor;Node_alt_126;0;1854;1;1;0;0
127;Huxley Aldous;Node_alt_127;0;1939;1;0;0;1
128;Huysmans Joris Karl;Node_alt_128;0;1884;1;1;0;0
129;Irving John;Node_alt_129;0;1990;2;0;0;1
130;Isaacson Walter;Node_alt_130;0;2011;2;0;0;1
131;Isherwood Christopher;Node_alt_131;0;1964;2;0;0;0
132;Ishiguro Kazuo;Node_alt_132;0;2003;1;0;1;1
133;Jackson Shirley;Node_alt_133;1;1962;2;0;0;0
134;James Henry;Node_alt_134;0;1894;2;0;0;0
135;Jansson Tove;Node_alt_135;1;1972;1;1;0;0
136;Jerome Jerome;Node_alt_136;0;1889;1;0;0;0
137;St John Mandel Emily;Node_alt_137;1;2014;2;0;0;1
138;Johnson Adam;Node_alt_138;0;2012;2;0;0;1
139;Joyce James;Node_alt_139;0;1917;1;0;0;1
140;Kafka Franz;Node_alt_140;0;1922;1;1;0;0
141;Kanehara Hitomi;Node_alt_141;1;2005;4;1;0;0
142;Kang Han;Node_alt_142;1;2011;4;1;0;1
143;Karr Mary;Node_alt_143;1;1995;2;0;0;0
144;Kawabata Yasunari;Node_alt_144;0;1959;4;1;1;1
145;Kawamura Genki;Node_alt_145;0;2012;4;1;0;0
146;Keneally Thomas;Node_alt_146;0;1982;6;0;0;1
147;Kerouac Jack;Node_alt_147;0;1957;2;0;0;1
148;King Stephen;Node_alt_148;0;1993;2;0;0;0
149;Kinsella Sophie;Node_alt_149;1;2000;1;0;0;0
150;Kipling Rudyard;Node_alt_150;0;1895;1;0;1;1
151;Knausgård Karl Ove;Node_alt_151;0;2010;1;1;0;0
152;Krakauer Jon;Node_alt_152;0;1996;2;0;0;0
153;Kristof Ágota;Node_alt_153;1;1986;1;1;0;0
154;Kundera Milan;Node_alt_154;0;1977;1;1;0;1
155;Laclos Pierre;Node_alt_155;0;1782;1;1;0;0
156;Lagercrantz David;Node_alt_156;0;2015;1;1;0;0
157;Lagioia Nicola;Node_alt_157;0;2014;1;1;0;0
158;Lahiri Jhumpa;Node_alt_158;1;2008;2;1;0;1
159;Laing Olivia;Node_alt_159;1;2016;1;0;0;0
160;Lampedusa Giuseppe Tomasi;Node_alt_160;0;1958;1;1;0;0
161;Larsson Stieg;Node_alt_161;0;2006;1;1;0;1
162;Laurain Antoine;Node_alt_162;0;2014;1;1;0;0
163;Leavitt David;Node_alt_163;0;1985;2;0;0;0
164;Lee Harper;Node_alt_164;1;1960;2;0;0;1
165;Lehane Dennis;Node_alt_165;0;2001;2;0;0;0
166;Lethem Jonathan;Node_alt_166;0;2003;2;0;0;0
167;Levin Ira;Node_alt_167;0;1970;2;0;0;0
168;Levi Primo;Node_alt_168;0;1964;1;1;0;0
169;Lewis Clive Staples;Node_alt_169;0;1950;1;0;0;0
170;Lewis Roy;Node_alt_170;0;1960;1;0;0;0
171;Lispector Clarice;Node_alt_171;1;1960;3;1;0;0
172;London Jack;Node_alt_172;0;1908;2;0;0;0
173;Lovecraft HP;Node_alt_173;0;1932;2;0;0;0
174;Lowry Malcolm;Node_alt_174;0;1947;1;0;0;0
175;Malamud Bernard;Node_alt_175;0;1957;2;0;0;0
176;Malzieu Mathias;Node_alt_176;0;2007;1;1;0;0
177;Mandela Nelson;Node_alt_177;0;2013;5;0;0;0
178;Mann Thomas;Node_alt_178;0;1912;1;1;1;1
179;Márai Sándor;Node_alt_179;0;1942;1;1;0;0
180;Marías Javier;Node_alt_180;0;1997;1;1;0;1
181;Marone Lorenzo;Node_alt_181;0;2015;1;1;0;0
182;Márquez Gabriel García;Node_alt_182;0;1982;3;1;1;1
183;Martel Yann;Node_alt_183;0;2001;2;0;0;1
184;Martin George;Node_alt_184;0;2002;2;0;0;0
185;McCarthy Cormac;Node_alt_185;0;1993;2;0;0;1
186;McCullers Carson;Node_alt_186;1;1947;2;0;0;0
187;McEwan Ian;Node_alt_187;0;1995;1;0;0;1
188;McInerney Jay;Node_alt_188;0;1984;2;0;0;0
189;Melville Herman;Node_alt_189;0;1888;2;0;0;1
190;Mercier Pascal;Node_alt_190;0;2004;1;1;0;0
191;Miller Henry;Node_alt_191;0;1947;2;0;0;0
192;Mishima Yukio;Node_alt_192;0;1957;4;1;0;0
193;Mitchell David;Node_alt_193;0;2007;1;0;0;1
194;Mitford Nancy;Node_alt_194;1;1949;1;0;0;0
195;Modiano Patrick;Node_alt_195;0;2002;1;1;1;1
196;Morante Elsa;Node_alt_196;1;1957;1;1;0;0
197;Moravia Alberto;Node_alt_197;0;1960;1;1;0;0
198;Morrison Toni;Node_alt_198;1;1982;2;0;1;1
199;Moshfegh Ottessa;Node_alt_199;1;2018;2;0;0;0
200;Moyes Jojo;Node_alt_200;1;2012;1;0;0;0
201;Munro Alice;Node_alt_201;1;1990;2;0;1;1
202;Murakami Haruki;Node_alt_202;0;2004;4;1;0;1
203;Murgia Michela;Node_alt_203;1;2009;1;1;0;0
204;Musil Robert;Node_alt_204;0;1925;1;1;0;0
205;Nabokov Vladimir;Node_alt_205;0;1943;1;0;0;0
206;Nelson Blake;Node_alt_206;0;2006;2;0;0;0
207;Némirovsky Irène;Node_alt_207;1;1972;1;1;0;0
208;Adichie Ngozi Chimamanda;Node_alt_208;1;2008;5;0;0;1
209;Nicholls David;Node_alt_209;0;2012;1;0;0;1
210;Niffenegger Audrey;Node_alt_210;1;2003;2;0;0;1
211;Nin Anaïs;Node_alt_211;1;1977;2;0;0;0
212;Nothomb Amélie;Node_alt_212;1;1992;1;1;0;0
213;Oates Joyce Carol;Node_alt_213;1;1996;2;0;0;0
214;O'Brien Edna;Node_alt_214;1;1960;1;0;0;0
215;O'Connor Flannery;Node_alt_215;1;1958;2;0;0;0
216;O'Hagan Andrew;Node_alt_216;0;2017;1;0;0;0
217;Ortese Anna Maria;Node_alt_217;1;1953;1;1;0;0
218;Orwell George;Node_alt_218;0;1947;1;0;0;1
219;Oz Amos;Node_alt_219;0;1994;4;1;0;1
220;Paasilinna Arto;Node_alt_220;0;1975;1;1;0;0
221;Palacio RJ;Node_alt_221;1;2012;2;0;0;0
222;Palahniuk Chuck;Node_alt_222;0;2002;2;0;0;0
223;Pasternak Boris;Node_alt_223;0;1957;1;1;1;1
224;Pavese Cesare;Node_alt_224;0;1949;1;1;0;0
225;Perutz Leo;Node_alt_225;0;1945;1;1;0;0
226;Pessoa Fernando;Node_alt_226;0;1982;1;1;0;0
227;Pirandello Luigi;Node_alt_227;0;1904;1;1;1;1
228;Pirsig Robert;Node_alt_228;0;1974;2;0;0;0
229;Plath Sylvia;Node_alt_229;1;1963;2;0;0;0
230;Poe Edgar Allan;Node_alt_230;0;1845;2;0;0;0
231;Pollan Michael;Node_alt_231;0;2006;2;0;0;0
232;Proulx Annie;Node_alt_232;1;1995;2;0;0;1
233;Proust Marcel;Node_alt_233;0;1913;1;1;0;0
234;Punke Michael;Node_alt_234;0;2002;2;0;0;0
235;Pynchon Thomas;Node_alt_235;0;1970;2;0;0;1
236;Radiguet Raymond;Node_alt_236;0;1923;1;1;0;0
237;Redfield James;Node_alt_237;0;1993;2;0;0;0
238;Remarque Erich Maria;Node_alt_238;0;1929;1;1;0;1
239;Richler Mordecai;Node_alt_239;0;1993;2;0;0;0
240;Robinson Marilynne;Node_alt_240;1;2009;2;0;0;1
241;Rooney Sally;Node_alt_241;1;2017;1;0;0;1
242;Rosoff Meg;Node_alt_242;1;2004;2;0;0;0
243;Roth Philip;Node_alt_243;0;1990;2;0;0;1
244;Rowell Rainbow;Node_alt_244;1;2013;2;0;0;1
245;Rowling JK;Node_alt_245;1;2001;1;0;0;1
246;Rushdie Salman;Node_alt_246;0;1990;4;0;0;1
247;Sacks Oliver;Node_alt_247;0;2017;1;0;0;0
248;Sagan Françoise;Node_alt_248;1;1954;1;1;0;0
249;Salinger JD;Node_alt_249;0;1956;2;0;0;1
250;Saramago Josè;Node_alt_250;0;2003;1;1;1;1
251;Saunders George;Node_alt_251;0;2015;2;0;0;1
252;Saviano Roberto;Node_alt_252;0;2006;1;1;0;0
253;Schnitzler Arthur;Node_alt_253;0;1926;1;1;0;0
254;Scott Walter;Node_alt_254;0;1818;1;0;0;0
255;Sebald Winfried Georg;Node_alt_255;0;1997;1;1;0;0
256;Sebold Alice;Node_alt_256;1;2002;2;0;0;1
257;Sedaris David;Node_alt_257;0;2008;2;0;0;0
258;Simenon Georges;Node_alt_258;0;1942;1;1;0;0
259;Skloot Rebecca;Node_alt_259;1;2010;2;0;0;0
260;Smith Martin Cruz;Node_alt_260;0;1981;2;0;0;0
261;Solzhenitsyn Aleksandr;Node_alt_261;0;1973;1;1;1;1
262;Sōseki Natsume;Node_alt_262;0;1909;4;1;0;0
263;Sparks Nicholas;Node_alt_263;0;1999;2;0;0;0
264;Stefansson Jón Kalman;Node_alt_264;0;2007;1;1;0;0
265;Steinbeck John;Node_alt_265;0;1941;2;0;1;1
266;Stendhal Marie-Henri;Node_alt_266;0;1835;1;1;0;0
267;Stevenson Robert Louis;Node_alt_267;0;1889;1;0;0;1
268;Stoker Bram;Node_alt_268;0;1897;1;0;0;0
269;Stroud Carsten;Node_alt_269;0;2012;2;0;0;0
270;Strout Elizabeth;Node_alt_270;1;2011;2;0;0;1
271;Süskind Patrick;Node_alt_271;0;1985;1;1;0;1
272;Svevo Italo;Node_alt_272;0;1911;1;1;0;0
273;Swift Jonathan;Node_alt_273;0;1726;1;0;0;0
274;Szabó Magda;Node_alt_274;1;1987;1;1;0;1
275;Tabucchi Antonio;Node_alt_275;0;1990;1;1;0;0
276;Takami Koushun;Node_alt_276;0;1999;4;1;0;0
277;Tartt Donna;Node_alt_277;1;2008;2;0;0;1
278;Taylor Laini;Node_alt_278;1;2017;2;0;0;0
279;Thackeray William Makepeace;Node_alt_279;0;1848;1;0;0;0
280;Thomas Scarlett;Node_alt_280;1;2005;1;0;0;0
281;Thompson Harry;Node_alt_281;0;2005;1;0;0;0
282;Thoreau Henry David;Node_alt_282;0;1854;2;0;0;0
283;Tokarczuk Olga;Node_alt_283;1;2008;1;1;1;1
284;Tolkien JRR;Node_alt_284;0;1946;1;0;0;1
285;Tolstoy Leo;Node_alt_285;0;1873;1;1;0;1
286;Turgenev Ivan;Node_alt_286;0;1861;1;1;0;0
287;Twain Mark;Node_alt_287;0;1883;2;0;0;0
288;Uhlman Fred;Node_alt_288;0;1971;1;0;0;0
289;Vargas Fred;Node_alt_289;1;1995;1;1;0;0
290;Verne Jules;Node_alt_290;0;1878;1;1;0;0
291;Vian Boris;Node_alt_291;0;1946;1;1;0;0
292;Vila-Matas Enrique;Node_alt_292;0;2000;1;1;0;0
293;Vinci Simona;Node_alt_293;1;1997;1;1;0;0
294;Vonnegut Kurt;Node_alt_294;0;1962;2;0;0;0
295;de Waal Edmund;Node_alt_295;0;2010;1;0;0;1
296;Walker Alice;Node_alt_296;1;1982;2;0;0;1
297;Wallace David Foster;Node_alt_297;0;1997;2;0;0;0
298;Waller Robert James;Node_alt_298;0;1992;2;0;0;0
299;Walpole Horace;Node_alt_299;0;1764;1;0;0;0
300;Waters Sarah;Node_alt_300;1;2002;1;0;0;1
301;West Nathanael;Node_alt_301;0;1933;2;0;0;0
302;Westover Tara;Node_alt_302;1;2018;2;0;0;0
303;West Rebecca;Node_alt_303;1;1970;1;0;0;0
304;Wharton Edith;Node_alt_304;1;1916;2;0;0;1
305;Wiesel Elie;Node_alt_305;0;1958;2;1;0;0
306;Wilde Oscar;Node_alt_306;0;1890;1;0;0;0
307;Williams John;Node_alt_307;0;1957;2;0;0;0
308;Winslow Don;Node_alt_308;0;2019;2;0;0;0
309;Winterson Jeanette;Node_alt_309;1;1992;1;0;0;0
310;Wollstonecraft Mary;Node_alt_310;1;1822;1;0;0;0
311;Woolf Virginia;Node_alt_311;1;1928;1;0;0;1
312;Yanagihara Hanya;Node_alt_312;1;2014;2;0;0;1
313;Yates Richard;Node_alt_313;0;1969;2;0;0;0
314;Yoshimoto Banana;Node_alt_314;1;1999;4;1;0;0
315;Yourcenar Marguerite;Node_alt_315;1;1951;1;1;0;0
316;Zafón Carlos Ruiz;Node_alt_316;0;2003;1;1;0;0
317;Zola Émile;Node_alt_317;0;1883;1;1;0;0
318;Le Guin Ursula;Node_alt_318;1;1968;2;0;0;1
319;Sturgeon Theodore;Node_alt_319;0;1950;2;0;0;0
320;Alderman Naomi;Node_alt_320;1;2016;1;0;0;1
321;McMurtry Larry;Node_alt_321;0;1985;2;0;0;1
322;Läckberg Camilla;Node_alt_322;1;2008;1;1;0;0
323;Abdolah Kader;Node_alt_323;0;2005;4;1;0;0
324;Abulhawa Susan;Node_alt_324;1;2011;4;0;0;0
325;Achebe Chinua;Node_alt_325;0;1961;5;0;0;1
326;Adébáyò Ayòbámi;Node_alt_326;1;2017;5;0;0;0
327;Adiga Aravind;Node_alt_327;0;2010;4;0;0;1
328;Agnon Shmuel Yosef;Node_alt_328;0;1935;4;1;1;1
329;Agualusa Josè Eduardo;Node_alt_329;0;2014;5;1;0;0
330;Akunin Boris;Node_alt_330;0;1998;1;1;0;0
331;Alarcón Daniel;Node_alt_331;0;2010;3;0;0;0
332;Aleksievič Svetlana;Node_alt_332;1;2013;1;1;1;1
333;Alem Raja'a;Node_alt_333;1;2012;4;1;0;0
334;Ali Sabahattin;Node_alt_334;0;1943;4;1;0;0
335;Amado Jorge;Node_alt_335;0;1954;3;1;0;0
336;Anand Mulk Râj;Node_alt_336;0;1935;4;0;0;0
337;Anderson Poul;Node_alt_337;0;1960;2;0;0;0
338;Antunes António Lobo;Node_alt_338;0;1997;1;1;0;0
339;Anwar Arif;Node_alt_339;0;2018;4;0;0;0
340;Anyi Wang;Node_alt_340;1;1995;4;1;0;0
341;Appelfeld Aharon;Node_alt_341;0;1996;4;1;0;0
342;Aramburu Fernando;Node_alt_342;0;2016;1;1;0;0
343;Arguedas José María;Node_alt_343;0;1958;3;1;0;0
344;Arlt Roberto;Node_alt_344;0;1929;3;1;0;0
345;Atogun Odafe;Node_alt_345;0;2016;5;0;0;0
