Id;Label;AltLabel;sex;historical_period;continent;translated;nobel;all_prizes
1031;Lavell Edith;Node_alt_1031;1;1922;2;0;0;0
1032;Lazell Frederick;Node_alt_1032;0;1908;2;0;0;0
1033;Leamy Edmund;Node_alt_1033;0;1906;1;0;0;0
1034;Lee Day;Node_alt_1034;0;1852;2;0;0;0
1035;Lee Hannah;Node_alt_1035;0;1837;2;0;0;0
1036;Lee Holme;Node_alt_1036;1;1874;1;0;0;0
1037;LeFeuvre Amy;Node_alt_1037;1;1898;1;0;0;0
1038;Le Queux William;Node_alt_1038;0;1906;1;0;0;0
1039;Lerrigo Charles;Node_alt_1039;0;1917;2;0;0;0
1040;Leslie Emma;Node_alt_1040;1;1887;1;0;0;0
1041;Letts Billie;Node_alt_1041;0;1995;2;0;0;0
1042;Lewis Charlton;Node_alt_1042;0;1916;2;0;0;0
1043;Lim Suchen Christine;Node_alt_1043;1;2017;4;0;0;0
1044;Litchfield Grace;Node_alt_1044;1;1883;2;0;0;0
1045;Litsey Edwin;Node_alt_1045;0;1902;2;0;0;0
1046;Livermore George;Node_alt_1046;0;1920;2;0;0;0
1047;Locke David;Node_alt_1047;0;1882;2;0;0;0
1048;Lockhart Caroline;Node_alt_1048;1;1916;2;0;0;0
1049;Lofts Norah;Node_alt_1049;1;1963;1;0;0;0
1050;Long Helen;Node_alt_1050;1;1916;2;0;0;0
1051;Longstreet Helen;Node_alt_1051;1;1904;2;0;0;0
1052;Loomis Charles;Node_alt_1052;0;1911;2;0;0;0
1053;Looms George;Node_alt_1053;0;1922;2;0;0;0
1054;Lord Karen;Node_alt_1054;1;2012;3;0;0;0
1055;Lorimer George;Node_alt_1055;0;1906;2;0;0;0
1056;Loring Emilie;Node_alt_1056;1;1922;2;0;0;0
1057;Lott Bret;Node_alt_1057;0;1991;2;0;0;0
1058;Lovelace Earl;Node_alt_1058;0;2011;3;0;0;0
1059;Lowe Clara;Node_alt_1059;1;1882;2;0;0;0
1060;Lowry Edward;Node_alt_1060;0;1902;1;0;0;0
1061;Ludovici Anthony;Node_alt_1061;0;1921;1;0;0;0
1062;Lyle Eugene;Node_alt_1062;0;1905;2;0;0;0
1063;Lynde Francis;Node_alt_1063;0;1906;2;0;0;0
1064;MacKinlay Kantor;Node_alt_1064;0;1955;2;0;0;1
1065;MacLeod Alistair;Node_alt_1065;0;1999;2;0;0;0
1066;Mann William J.;Node_alt_1066;0;2006;2;0;0;0
1067;Martínez Tomás Eloy;Node_alt_1067;0;1980;3;1;0;0
1068;Matesis Pavlos;Node_alt_1068;0;1990;1;1;0;0
1069;Mehta Gita;Node_alt_1069;1;1993;4;0;0;0
1070;Meruane Lina;Node_alt_1070;1;2012;3;1;0;0
1071;Middleton Stanley;Node_alt_1071;0;1974;1;0;0;1
1072;Miller Caroline Pafford;Node_alt_1072;1;1933;2;0;0;1
1073;Miller Sue;Node_alt_1073;1;1999;2;0;0;0
1074;Miller Kei;Node_alt_1074;0;2013;3;0;0;0
1075;Milne Alan Alexander;Node_alt_1075;0;1917;1;0;0;0
1076;Mistry Rohinton;Node_alt_1076;0;1996;4;0;0;1
1077;Mitchard Jacquelyn;Node_alt_1077;1;1996;2;0;0;0
1078;Momaday Navarre Scott;Node_alt_1078;0;1968;2;0;0;1
1079;More Hannah;Node_alt_1079;1;1803;1;0;0;0
1080;Morgan Robert;Node_alt_1080;0;1999;2;0;0;0
1081;Morris Mary McGarry;Node_alt_1081;1;1995;2;0;0;0
1082;Mphahlele Es'kia;Node_alt_1082;0;1959;5;0;0;0
1083;Mukherjee Bharati;Node_alt_1083;1;1998;4;0;0;0
1084;Muller Carl;Node_alt_1084;0;1995;4;0;0;0
1085;Murdoch Iris;Node_alt_1085;1;1966;1;0;0;1
1086;Serpell Namwali;Node_alt_1086;1;2019;5;0;0;1
1087;Narayan RK;Node_alt_1087;0;1959;4;0;0;0
1088;Nasrallah Ibrahim;Node_alt_1088;0;2007;4;1;0;0
1089;Nasrin Taslima;Node_alt_1089;1;1998;4;1;0;0
1090;Nesbit Edith;Node_alt_1090;1;1903;1;0;0;0
1091;Newby Percy Howard;Node_alt_1091;0;1968;1;0;0;1
1092;Ninh Bao;Node_alt_1092;0;1990;4;1;0;0
1093;Yi Nu Nu;Node_alt_1093;1;1994;4;1;0;0
1094;O'Connor Edwin;Node_alt_1094;0;1961;2;0;0;1
1095;O'Dell Tawni;Node_alt_1095;1;2000;2;0;0;0
1096;St Omer Garth;Node_alt_1096;0;2015;3;0;0;0
1097;Ondjaki Ondjaki;Node_alt_1097;0;2012;5;1;0;0
1098;Owuor Yvonne Adhiambo;Node_alt_1098;1;2017;5;1;0;0
1099;Parajuly Prajwal;Node_alt_1099;0;2013;4;0;0;0
1100;Parsipur Shahrnush;Node_alt_1100;1;1990;4;1;0;0
1101;Paton Alan;Node_alt_1101;0;1948;5;0;0;0
1102;Phillips Caryl;Node_alt_1102;0;2000;3;0;0;1
1103;Poole Ernest;Node_alt_1103;0;1917;2;0;0;1
1104;Quindlen Anna;Node_alt_1104;1;1998;2;0;0;0
1105;Quiroga Horacio;Node_alt_1105;0;1925;3;1;0;0
1106;Randall FJ;Node_alt_1106;0;1908;1;0;0;0
1107;Rand Edward;Node_alt_1107;0;1898;2;0;0;0
1108;Rankin Carroll;Node_alt_1108;1;1910;2;0;0;0
1109;Raper Eleanor;Node_alt_1109;1;1902;1;0;0;0
1110;Ratner Vaddey;Node_alt_1110;1;2015;4;0;0;0
1111;Ray Anna;Node_alt_1111;1;1901;2;0;0;0
1112;Raymond Eveline;Node_alt_1112;1;1906;2;0;0;0
1113;Reach Angus;Node_alt_1113;0;1852;1;0;0;0
1114;Read George;Node_alt_1114;0;1912;2;0;0;0
1115;Rebreanu Liviu;Node_alt_1115;0;1922;1;1;0;0
1116;Rechy John;Node_alt_1116;0;1979;2;0;0;0
1117;Reed Helen;Node_alt_1117;1;1902;2;0;0;0
1118;Reid Elizabeth;Node_alt_1118;1;1890;2;0;0;0
1119;Remick Grace;Node_alt_1119;1;1916;2;0;0;0
1120;Reynolds George;Node_alt_1120;0;1845;1;0;0;0
1121;Reynolds Sheri;Node_alt_1121;1;1995;2;0;0;0
1122;Rhodes Eugene;Node_alt_1122;0;1917;2;0;0;0
1123;Rice Alfred;Node_alt_1123;0;1914;1;0;0;0
1124;Rice George;Node_alt_1124;0;1913;2;0;0;0
1125;Richardson Albert;Node_alt_1125;0;1865;2;0;0;0
1126;Richardson Dorothy;Node_alt_1126;1;1905;1;0;0;0
1127;Richardson Sarah;Node_alt_1127;1;1858;2;0;0;0
1128;Rich Charles;Node_alt_1128;0;1896;2;0;0;0
1129;Richmond Grace;Node_alt_1129;1;1909;2;0;0;0
1130;Richter Conrad;Node_alt_1130;0;1950;2;0;0;1
1131;Riddle Albert;Node_alt_1131;0;1873;2;0;0;0
1132;Rihani Ameen;Node_alt_1132;0;1911;4;0;0;0
1133;Riley Henry;Node_alt_1133;0;1859;2;0;0;0
1134;Ritchie Eric;Node_alt_1134;0;1915;1;0;0;0
1135;Rives Hallie;Node_alt_1135;1;1907;2;0;0;0
1136;Robin Gallienne;Node_alt_1136;1;1907;1;0;0;0
1137;Robinson CH;Node_alt_1137;0;1913;2;0;0;0
1138;Robinson Eliot;Node_alt_1138;0;1919;2;0;0;0
1139;Roche Arthur;Node_alt_1139;0;1921;2;0;0;0
1140;Roffey Monique;Node_alt_1140;1;2012;3;0;0;0
1141;Roosevelt Wyn;Node_alt_1141;0;1910;2;0;0;0
1142;Roper Edward;Node_alt_1142;0;1899;1;0;0;0
1143;Rosebery Lord;Node_alt_1143;0;1910;1;0;0;0
1144;Ross Albert;Node_alt_1144;0;1898;2;0;0;0
1145;Ross Frederick;Node_alt_1145;0;1892;2;0;0;0
1146;Rowland Helen;Node_alt_1146;1;1908;2;0;0;0
1147;Rubens Bernice;Node_alt_1147;1;1969;1;0;0;1
1148;Rubio Gwyn Hyman;Node_alt_1148;1;1998;2;0;0;0
1149;Ruck Berta;Node_alt_1149;1;1916;1;0;0;0
1150;Russell Dora;Node_alt_1150;1;1895;1;0;0;0
1151;Ruxton George;Node_alt_1151;0;1915;1;0;0;0
1152;Saer Juan José;Node_alt_1152;0;2001;3;1;0;0
1153;Saul Jack;Node_alt_1153;0;1881;1;0;0;0
1154;Scott Paul;Node_alt_1154;0;1977;1;0;0;1
1155;Selvon Sam;Node_alt_1155;0;1966;3;0;0;0
1156;Sembène Ousmane;Node_alt_1156;0;1973;5;1;0;0
1157;Shaara Michael;Node_alt_1157;0;1974;2;0;0;1
1158;Shah Bina;Node_alt_1158;1;2016;4;0;0;0
1159;Sinclair Upton;Node_alt_1159;0;1942;2;0;0;1
1160;Sionil Jose F;Node_alt_1160;0;1989;4;0;0;0
1161;Sirees Nihad;Node_alt_1161;0;2016;4;1;0;0
1162;Sirleaf Ellen Johnson;Node_alt_1162;1;2010;5;0;0;0
1163;Smiley Jane;Node_alt_1163;1;1992;2;0;0;1
1164;Solares Martin;Node_alt_1164;0;2011;3;1;0;0
1165;Ibrahim Sonallah;Node_alt_1165;0;1974;5;1;0;0
1166;Soueif Ahdaf;Node_alt_1166;1;2003;5;0;0;0
1167;Stead Christina;Node_alt_1167;1;1940;6;0;0;0
1168;Storey David;Node_alt_1168;0;1974;1;0;0;1
1169;Stribling Thomas Sigismund;Node_alt_1169;0;1932;2;0;0;1
1170;Sudbanthad Pitchaya;Node_alt_1170;0;2019;4;0;0;0
1171;Susann Jacqueline;Node_alt_1171;1;1966;2;0;0;0
1172;Swift Graham;Node_alt_1172;0;1996;1;0;0;1
1173;Syjuco Miguel;Node_alt_1173;0;2008;4;0;0;0
1174;Tademy Lalita;Node_alt_1174;1;2001;2;0;0;0
1175;Taylor Bayard;Node_alt_1175;0;1866;2;0;0;0
1176;Taylor Peter;Node_alt_1176;0;1986;2;0;0;1
1177;Taylor Robert Lewis;Node_alt_1177;0;1958;2;0;0;1
1178;Tekin Latife;Node_alt_1178;1;1989;4;1;0;0
1179;Thurman Wallace;Node_alt_1179;0;1929;2;0;0;0
1180;Toer Pramoedya Ananta;Node_alt_1180;0;1983;4;1;0;0
1181;Turner Ethel;Node_alt_1181;1;1894;1;0;0;0
1182;Tynan Katharine;Node_alt_1182;1;1903;1;0;0;0
1183;Unsworth Barry;Node_alt_1183;0;1994;1;0;0;1
1184;Upadhyay Samrat;Node_alt_1184;0;2002;4;0;0;0
1185;Volpi Jorge;Node_alt_1185;0;1996;3;1;0;0
1186;Warren Robert Penn;Node_alt_1186;0;1946;2;0;0;1
1187;Welsapar Ak;Node_alt_1187;0;2015;4;1;0;0
1188;Wendt Albert;Node_alt_1188;0;2012;6;0;0;0
1189;West Dorothy;Node_alt_1189;1;1972;2;0;0;0
1190;Wilson Margaret;Node_alt_1190;1;1923;2;0;0;1
1191;Wright Stephen;Node_alt_1191;0;1994;2;0;0;0
1192;Wroblewski David;Node_alt_1192;0;2008;2;0;0;0
1193;Yates Dornford;Node_alt_1193;0;1932;1;0;0;0
1194;Yefremov Ivan;Node_alt_1194;0;1957;1;1;0;0
1195;Yong Jin;Node_alt_1195;0;1957;4;1;0;0
1196;Young Lani Wendt;Node_alt_1196;1;2011;6;0;0;0
1197;Ayatsuji Yukito;Node_alt_1197;0;1987;4;1;0;0
1198;Groom Winston;Node_alt_1198;0;1986;2;0;0;0
1199;McBride James;Node_alt_1199;0;2020;2;0;0;1
1200;Akhtar Ayad;Node_alt_1200;0;2020;2;0;0;1
1201;Lerner Ben;Node_alt_1201;0;2019;2;0;0;1
1202;Barry Kevin;Node_alt_1202;0;2019;1;0;0;1
1203;Orange Tommy;Node_alt_1203;0;2019;2;0;0;1
1204;Mahajan Karan;Node_alt_1204;0;2016;4;0;0;1
1205;McGuire Ian;Node_alt_1205;0;2016;1;0;0;1
1206;Hertmans Stefan;Node_alt_1206;0;2016;1;1;0;1
1207;Sharma Akhil;Node_alt_1207;0;2014;4;0;0;1
1208;Klay Phil;Node_alt_1208;0;2014;2;0;0;1
1209;Powers Kevin;Node_alt_1209;0;2012;2;0;0;1
1210;Harbach Chad;Node_alt_1210;0;2011;2;0;0;1
1211;Washington Bryan;Node_alt_1211;0;2019;2;0;0;0
1212;Cline Ernest;Node_alt_1212;0;2020;2;0;0;1
1213;Lanchester John;Node_alt_1213;0;2020;1;0;0;1
1214;Washburn Kawai;Node_alt_1214;0;2020;2;0;0;0
1215;Taylor Brandon;Node_alt_1215;0;2020;2;0;0;1
1216;McCann Colum;Node_alt_1216;0;2020;1;0;0;1
1217;Greenwell Garth;Node_alt_1217;0;2020;2;0;0;1
1218;Vuong Ocean;Node_alt_1218;0;2019;2;0;0;1
1219;Johnson Denis;Node_alt_1219;0;2018;2;0;0;0
1220;Yates Christopher;Node_alt_1220;0;2018;1;0;0;0
1221;Winters Ben;Node_alt_1221;0;2016;2;0;0;1
1222;Haslett Adam;Node_alt_1222;0;2016;2;0;0;1
1223;Barrett Colin;Node_alt_1223;0;2015;1;0;0;1
1224;Baxter Charles;Node_alt_1224;0;2015;2;0;0;0
1225;Hemon Aleksandar;Node_alt_1225;0;2015;2;0;0;0
1226;Petterson Per;Node_alt_1226;0;2015;1;1;0;0
1227;Tóibín Colm;Node_alt_1227;0;2007;1;0;0;1
1228;House Richard;Node_alt_1228;0;2014;2;0;0;1
1229;Shacochis Bob;Node_alt_1229;0;2013;2;0;0;1
1230;Meyer Philipp;Node_alt_1230;0;2013;2;0;0;1
1231;Barry Sebastian;Node_alt_1231;0;2017;1;0;0;1
1232;Lavalle Victor;Node_alt_1232;0;2017;2;0;0;0
1233;Kunzru Hari;Node_alt_1233;0;2017;1;0;0;0
1234;Coovadia Imraan;Node_alt_1234;0;2018;5;0;0;0
1235;Addonia Sulaiman;Node_alt_1235;0;2008;5;0;0;0
1236;Iweala Uzodinma;Node_alt_1236;0;2018;2;0;0;0
1237;Nwokolo Chuma;Node_alt_1237;0;2018;5;0;0;0
1238;Murray Paul;Node_alt_1238;0;2010;1;0;0;1
1239;Maupin Armistead;Node_alt_1239;0;2010;2;0;0;1
1240;Beauman Ned;Node_alt_1240;0;2010;1;0;0;1
1241;Temple Peter;Node_alt_1241;0;2010;5;0;0;1
1242;Neville Stuart;Node_alt_1242;0;2010;1;0;0;1
1243;Harrison MJ;Node_alt_1243;0;2020;1;0;0;1
1244;Porter Max;Node_alt_1244;0;2020;1;0;0;1
1245;Meek James;Node_alt_1245;0;2012;1;0;0;0
1246;Remoto Danton;Node_alt_1246;0;2015;4;0;0;0
1247;Vargas Jose F;Node_alt_1247;0;2018;4;0;0;0
1248;Lee Chang-rae;Node_alt_1248;0;2010;2;0;0;0
1249;Kimani Peter;Node_alt_1249;0;2017;5;0;0;0
1250;Burnet Macrae Graeme;Node_alt_1250;0;2017;1;0;0;0
1251;Kingsnorth Paul;Node_alt_1251;0;2016;1;0;0;1
1252;Szalay David;Node_alt_1252;0;2016;2;0;0;1
1253;Enrigue Alvaro;Node_alt_1253;0;2016;3;1;0;1
1254;MacNeil Kevin;Node_alt_1254;0;2016;1;0;0;1
1255;Rothmann Ralf;Node_alt_1255;0;2017;1;1;0;0
1256;MacLaverty Bernard;Node_alt_1256;0;2007;1;0;0;1
1257;Bjørnson Bjørnstjerne;Node_alt_1257;0;1860;1;1;1;1
1258;Heyse Paul;Node_alt_1258;0;1855;1;1;1;1
1259;Hauptmann Gerhart;Node_alt_1259;0;1912;1;1;1;1
1260;Rolland Romain;Node_alt_1260;0;1920;1;1;1;1
1261;Reymont Wladyslaw;Node_alt_1261;0;1896;1;1;1;1
1262;Undset Sigrid;Node_alt_1262;1;1951;1;1;1;1
1263;Galsworthy John;Node_alt_1263;0;1922;1;0;1;1
1264;Bunin Ivan;Node_alt_1264;0;1916;1;1;1;1
1265;du Gard Roger;Node_alt_1265;0;1922;1;1;1;1
1266;Sillanpää Frans;Node_alt_1266;0;1934;1;1;1;1
1267;Mauriac François;Node_alt_1267;0;1920;1;1;1;1
1268;Andrić Ivo;Node_alt_1268;0;1945;1;1;1;1
1269;Simon Claude;Node_alt_1269;0;2001;1;1;1;1
1270;Jelinek Elfriede;Node_alt_1270;1;1980;1;1;1;1
1271;Le Clezio JMG;Node_alt_1271;0;1966;1;1;1;1
1272;Spark Muriel;Node_alt_1272;1;1968;1;0;0;0
1273;Barker AL;Node_alt_1273;1;1970;1;0;0;0
1274;Bowen Elizabeth;Node_alt_1274;1;1968;1;0;0;0
1275;Hazzard Shirley;Node_alt_1275;1;1970;6;0;0;0
1276;Robinson Derek;Node_alt_1276;0;1971;1;0;0;0
1277;Taylor Elizabeth;Node_alt_1277;1;1971;1;0;0;0
1278;Berger John;Node_alt_1278;0;1972;1;0;0;1
1279;Bainbridge Beryl;Node_alt_1279;1;1973;1;0;0;1
1280;Trevor William;Node_alt_1280;0;1976;1;0;0;0
1281;Blackwood Caroline;Node_alt_1281;1;1977;1;0;0;0
1282;Pym Barbara;Node_alt_1282;1;1977;1;0;0;0
1283;Gardam Jane;Node_alt_1283;1;1978;1;0;0;0
1284;Weldon Fay;Node_alt_1284;1;1978;1;0;0;0
1285;Burgess Anthony;Node_alt_1285;0;1980;1;0;0;0
1286;Carr JL;Node_alt_1286;0;1980;1;0;0;0
1287;Keane Molly;Node_alt_1287;1;1981;1;0;0;0
1288;Thomas DM;Node_alt_1288;0;1981;1;0;0;0
1289;Boyd William;Node_alt_1289;0;1982;1;0;0;0
1290;Bradbury Malcolm;Node_alt_1290;0;1983;1;0;0;0
1291;Fuller John;Node_alt_1291;0;1983;1;0;0;0
1292;Lodge David;Node_alt_1292;0;1984;1;0;0;0
1293;Davies Robertson;Node_alt_1293;0;1985;2;0;0;0
1294;Ackroyd Peter;Node_alt_1294;0;1987;1;0;0;1
1295;Bedford Sybille;Node_alt_1295;1;1989;1;0;0;0
1296;Kelman James;Node_alt_1296;0;1989;1;0;0;0
1297;Tremain Rose;Node_alt_1297;1;1989;1;0;0;0
1298;McGahern John;Node_alt_1298;0;1990;1;0;0;0
1299;Moore Brian;Node_alt_1299;0;1990;1;0;0;0
1300;Amis Martin;Node_alt_1300;0;1991;1;0;0;1
1301;McCabe Patrick;Node_alt_1301;0;1992;1;0;0;0
1302;Fischer Tibor;Node_alt_1302;0;1992;1;0;0;0
1303;Crace Jim;Node_alt_1303;0;1997;1;0;0;0
1304;Jackson Mick;Node_alt_1304;0;1997;1;0;0;0
1305;Parks Tim;Node_alt_1305;0;1997;1;0;0;0
1306;Booth Martin;Node_alt_1306;0;1998;1;0;0;0
1307;Mills Magnus;Node_alt_1307;0;1998;1;0;0;0
1308;Frayn Michael;Node_alt_1308;0;1999;1;0;0;0
1309;Azzopardi Trezza;Node_alt_1309;1;2000;1;0;0;0
1310;Kneale Matthew;Node_alt_1310;0;2000;1;0;0;0
1311;Seiffert Rachel;Node_alt_1311;1;2001;1;0;0;0
1312;Smith Ali;Node_alt_1312;1;2001;1;0;0;0
1313;Galgut Damon;Node_alt_1313;0;2003;5;0;0;0
1314;Heller Zoë;Node_alt_1314;1;2003;1;0;0;0
1315;Morrall Clare;Node_alt_1315;1;2003;1;0;0;0
1316;Hall Sarah;Node_alt_1316;1;2004;1;0;0;0
1317;Woodward Gerard;Node_alt_1317;0;2004;1;0;0;0
1318;Hyland MJ;Node_alt_1318;1;2006;1;0;0;0
1319;Barker Nicola;Node_alt_1319;1;2007;1;0;0;0
1320;Jones Lloyd;Node_alt_1320;0;2006;6;0;0;0
1321;Sinha Indra;Node_alt_1321;0;2007;4;0;0;0
1322;Grant Linda;Node_alt_1322;1;2008;1;0;0;0
1323;Hensher Philip;Node_alt_1323;0;2008;1;0;0;0
1324;Toltz Steve;Node_alt_1324;0;2008;6;0;0;0
1325;Foulds Adam;Node_alt_1325;0;2009;1;0;0;0
1326;Mawer Simon;Node_alt_1326;0;2009;1;0;0;0
1327;Donoghue Emma;Node_alt_1327;1;2010;1;0;0;1
1328;Levy Andrea;Node_alt_1328;0;2010;1;0;0;0
1329;McCarthy Tom;Node_alt_1329;0;2010;1;0;0;0
1330;Birch Carol;Node_alt_1330;1;2011;1;0;0;0
1331;deWitt Patrick;Node_alt_1331;0;2011;2;0;0;0
1332;Edugyan Esi;Node_alt_1332;1;2011;2;0;0;0
1333;Kelman Stephen;Node_alt_1333;0;2011;1;0;0;0
1334;Miller AD;Node_alt_1334;0;2011;1;0;0;0
1335;Levy Deborah;Node_alt_1335;1;2011;5;0;0;0
1336;Moore Alison;Node_alt_1336;1;2012;1;0;0;0
1337;Self Will;Node_alt_1337;0;2012;1;0;0;0
1338;Thayil Jeet;Node_alt_1338;0;2012;4;0;0;0
1339;Ferris Joshua;Node_alt_1339;0;2014;2;0;0;0
1340;Fowler Karen;Node_alt_1340;1;2014;2;0;0;1
1341;Sahota Sunjeev;Node_alt_1341;0;2015;1;0;0;1
1342;Thien Madeleine;Node_alt_1342;1;2016;2;0;0;0
1343;Fridlund Emily;Node_alt_1343;1;2017;2;0;0;0
1344;Mozley Fiona;Node_alt_1344;1;2017;1;0;0;0
1345;Johnson Daisy;Node_alt_1345;1;2018;1;0;0;0
1346;Kushner Rachel;Node_alt_1346;1;2018;2;0;0;0
1347;Ellmann Lucy;Node_alt_1347;1;2019;2;0;0;1
1348;Cook Diane;Node_alt_1348;1;2020;2;0;0;1
1349;Marquand John;Node_alt_1349;0;1937;2;0;0;1
1350;Agee James;Node_alt_1350;0;1957;2;0;0;1
1351;Porter Katherine;Node_alt_1351;1;1965;2;0;0;1
1352;Stafford Jean;Node_alt_1352;1;1969;2;0;0;1
1353;McPherson James;Node_alt_1353;0;1977;2;0;0;1
1354;Butler Robert;Node_alt_1354;0;1992;2;0;0;1
1355;Egan Jennifer;Node_alt_1355;1;2010;2;0;0;1
1356;Erdrich Louise;Node_alt_1356;1;2020;2;0;0;1
1357;Škvorecký Josef;Node_alt_1357;0;1958;1;1;0;1
1358;Frisch Max;Node_alt_1358;0;1954;1;1;0;1
1359;Rao Raja;Node_alt_1359;0;1965;4;0;0;1
1360;Ugrešić Dubravka;Node_alt_1360;1;2004;1;1;0;1
1361;Michon Pierre;Node_alt_1361;0;1984;1;1;0;1
1362;Magris Claudio;Node_alt_1362;0;1991;1;1;0;1
1363;Lustig Arnošt;Node_alt_1363;0;2000;1;1;0;1
1364;Nádas Péter;Node_alt_1364;0;2005;1;1;0;1
1365;Klíma Ivan;Node_alt_1365;0;1986;1;1;0;1
